DEBUG: Starting main...
DEBUG: Loading tokens...
DEBUG: Loaded tokens from data/tinystories/train_tokens.npy, shape=(64064,)
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42464.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43680.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42016.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43168.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50944.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52704.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43808.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45888.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44384.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43968.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45376.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40672.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51552.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54528.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46304.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50080.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40672.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42240.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51200.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47520.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48864.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50400.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49216.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44448.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43904.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46976.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50464.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47040.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43328.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45184.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44352.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45888.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42496.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50176.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43552.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40160.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54528.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46272.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38304.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43456.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49792.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48640.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49920.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49088.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49856.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46016.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46208.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50304.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42912.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55904.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38400.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=60064.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39936.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38656.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46432.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43680.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47040.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44416.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47936.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45920.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53504.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50464.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48704.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54048.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43328.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56256.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44224.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52064.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49440.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49216.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58016.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42784.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51392.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50560.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50656.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53472.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47648.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45728.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50976.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52448.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44896.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44960.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49312.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47360.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52832.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58240.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41568.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47712.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48608.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46464.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49184.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40448.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50848.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47968.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51776.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43072.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50240.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49152.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53952.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44384.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46688.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43040.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50368.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45696.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44992.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48064.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44480.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45696.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51648.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49120.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45344.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=32768.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41120.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46624.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42528.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51936.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=36256.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44320.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39168.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45152.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45856.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46688.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41824.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52160.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46400.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48800.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45536.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45536.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43936.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58848.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53312.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39136.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51136.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47072.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42368.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40928.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47616.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42080.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43648.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47296.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51808.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47904.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57984.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44864.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43872.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46688.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50208.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42208.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=inf
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=59232.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50432.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43104.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47104.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=inf
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48224.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50048.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=59136.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51072.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52448.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48928.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47456.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39296.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45312.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57664.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43072.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53440.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52384.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52128.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42912.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43744.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45376.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43744.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55776.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39584.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=34848.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51232.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46464.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47264.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44864.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42272.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=61952.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46592.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=inf
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53440.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48672.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50976.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49984.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43520.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43392.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50080.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56256.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=60736.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=64832.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49056.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55168.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51936.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=60256.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=62560.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=63680.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43808.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55104.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=62496.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48832.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42176.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45568.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42592.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50688.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51328.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53920.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=inf
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47360.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53120.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52256.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43712.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52544.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48096.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52224.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42208.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57024.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51520.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=60768.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56992.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49184.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45728.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45152.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47328.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51520.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52512.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54176.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45888.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53312.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49408.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43648.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=36160.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42624.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43936.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41056.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45440.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44160.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44032.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42400.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48096.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49984.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57952.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51680.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48064.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=59392.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51424.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48480.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44224.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=59776.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48608.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48256.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53952.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43136.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50112.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45568.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44832.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53760.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55456.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51680.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57504.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48768.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57024.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52736.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52064.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42400.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55392.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52352.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42912.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54784.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58272.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39360.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51296.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45760.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48768.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51264.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51456.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47168.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49184.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=60320.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44352.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49536.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47904.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52800.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51648.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48320.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53344.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42528.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45440.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52448.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=29456.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42656.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52672.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41120.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39424.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38208.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55072.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44608.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48000.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46944.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51584.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50272.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43744.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48096.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41536.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45184.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53504.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38208.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49408.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53312.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45888.0
